,short_name,model_name,results,accuracy,macro,per_class_Precision_1,per_class_Precision_2,per_class_Precision_3,per_class_Precision_4,per_class_Recall_1,per_class_Recall_2,per_class_Recall_3,per_class_Recall_4,per_class_F-score_1,per_class_F-score_2,per_class_F-score_3,per_class_F-score_4,per_class_Support_1,per_class_Support_2,per_class_Support_3,per_class_Support_4
25,alpaca succint,openai,"{""accuracy"": 0.8765432098765432, ""macro"": [0.8696271929824562, 0.8420866489832006, 0.8428880026586907, null], ""per_class"": {""Precision"": {""1"": 0.8666666666666667, ""2"": 1.0, ""3"": 0.7368421052631579, ""4"": 0.875}, ""Recall"": {""1"": 0.896551724137931, ""2"": 1.0, ""3"": 0.9333333333333333, ""4"": 0.5384615384615384}, ""F-score"": {""1"": 0.8813559322033899, ""2"": 1.0, ""3"": 0.8235294117647058, ""4"": 0.6666666666666667}, ""Support"": {""1"": 29, ""2"": 24, ""3"": 15, ""4"": 13}}}",0.8765432098765432,"[0.8696271929824562, 0.8420866489832006, 0.8428880026586907, None]",0.8666666666666667,1.0,0.7368421052631579,0.875,0.896551724137931,1.0,0.9333333333333333,0.5384615384615384,0.8813559322033899,1.0,0.8235294117647058,0.6666666666666667,29,24,15,13
26,example,openai,"{""accuracy"": 0.9259259259259259, ""macro"": [0.9154761904761904, 0.9303879310344828, 0.9215605503119502, null], ""per_class"": {""Precision"": {""1"": 0.9285714285714286, ""2"": 1.0, ""3"": 0.8666666666666667, ""4"": 0.8666666666666667}, ""Recall"": {""1"": 0.896551724137931, ""2"": 0.9583333333333334, ""3"": 0.8666666666666667, ""4"": 1.0}, ""F-score"": {""1"": 0.912280701754386, ""2"": 0.9787234042553191, ""3"": 0.8666666666666667, ""4"": 0.9285714285714286}, ""Support"": {""1"": 29, ""2"": 24, ""3"": 15, ""4"": 13}}}",0.9259259259259259,"[0.9154761904761904, 0.9303879310344828, 0.9215605503119502, None]",0.9285714285714286,1.0,0.8666666666666667,0.8666666666666667,0.896551724137931,0.9583333333333334,0.8666666666666667,1.0,0.912280701754386,0.9787234042553191,0.8666666666666667,0.9285714285714286,29,24,15,13
27,original bmk,openai,"{""accuracy"": 0.8641975308641975, ""macro"": [0.8450924075924077, 0.8573441644562334, 0.8438669301712779, null], ""per_class"": {""Precision"": {""1"": 0.9615384615384616, ""2"": 0.9545454545454546, ""3"": 0.7142857142857143, ""4"": 0.75}, ""Recall"": {""1"": 0.8620689655172413, ""2"": 0.875, ""3"": 1.0, ""4"": 0.6923076923076923}, ""F-score"": {""1"": 0.9090909090909091, ""2"": 0.9130434782608695, ""3"": 0.8333333333333333, ""4"": 0.7199999999999999}, ""Support"": {""1"": 29, ""2"": 24, ""3"": 15, ""4"": 13}}}",0.8641975308641975,"[0.8450924075924077, 0.8573441644562334, 0.8438669301712779, None]",0.9615384615384616,0.9545454545454546,0.7142857142857143,0.75,0.8620689655172413,0.875,1.0,0.6923076923076923,0.9090909090909091,0.9130434782608695,0.8333333333333333,0.7199999999999999,29,24,15,13
28,numeric succint,openai,"{""accuracy"": 0.8148148148148148, ""macro"": [0.8063179347826086, 0.7818633952254642, 0.7902929842953451, null], ""per_class"": {""Precision"": {""1"": 0.78125, ""2"": 0.9565217391304348, ""3"": 0.6875, ""4"": 0.8}, ""Recall"": {""1"": 0.8620689655172413, ""2"": 0.9166666666666666, ""3"": 0.7333333333333333, ""4"": 0.6153846153846154}, ""F-score"": {""1"": 0.8196721311475409, ""2"": 0.9361702127659574, ""3"": 0.7096774193548386, ""4"": 0.6956521739130435}, ""Support"": {""1"": 29, ""2"": 24, ""3"": 15, ""4"": 13}}}",0.8148148148148148,"[0.8063179347826086, 0.7818633952254642, 0.7902929842953451, None]",0.78125,0.9565217391304348,0.6875,0.8,0.8620689655172413,0.9166666666666666,0.7333333333333333,0.6153846153846154,0.8196721311475409,0.9361702127659574,0.7096774193548386,0.6956521739130435,29,24,15,13
29,alpaca style,openai-gpt4,"{""accuracy"": 0.9629629629629629, ""macro"": [0.9765625, 0.95625, 0.9645286262394739, null], ""per_class"": {""Precision"": {""1"": 0.90625, ""2"": 1.0, ""3"": 1.0, ""4"": 1.0}, ""Recall"": {""1"": 1.0, ""2"": 0.9583333333333334, ""3"": 0.8666666666666667, ""4"": 1.0}, ""F-score"": {""1"": 0.9508196721311475, ""2"": 0.9787234042553191, ""3"": 0.9285714285714286, ""4"": 1.0}, ""Support"": {""1"": 29, ""2"": 24, ""3"": 15, ""4"": 13}}}",0.9629629629629629,"[0.9765625, 0.95625, 0.9645286262394739, None]",0.90625,1.0,1.0,1.0,1.0,0.9583333333333334,0.8666666666666667,1.0,0.9508196721311475,0.9787234042553191,0.9285714285714286,1.0,29,24,15,13
30,alpaca succint,openai-gpt4,"{""accuracy"": 0.9506172839506173, ""macro"": [0.9696969696969697, 0.9370192307692309, 0.9506946759486223, null], ""per_class"": {""Precision"": {""1"": 0.8787878787878788, ""2"": 1.0, ""3"": 1.0, ""4"": 1.0}, ""Recall"": {""1"": 1.0, ""2"": 0.9583333333333334, ""3"": 0.8666666666666667, ""4"": 0.9230769230769231}, ""F-score"": {""1"": 0.9354838709677419, ""2"": 0.9787234042553191, ""3"": 0.9285714285714286, ""4"": 0.9600000000000001}, ""Support"": {""1"": 29, ""2"": 24, ""3"": 15, ""4"": 13}}}",0.9506172839506173,"[0.9696969696969697, 0.9370192307692309, 0.9506946759486223, None]",0.8787878787878788,1.0,1.0,1.0,1.0,0.9583333333333334,0.8666666666666667,0.9230769230769231,0.9354838709677419,0.9787234042553191,0.9285714285714286,0.9600000000000001,29,24,15,13
31,example,openai-gpt4,"{""accuracy"": 0.9259259259259259, ""macro"": [0.9344086021505377, 0.9223419540229885, 0.9240459304289093, null], ""per_class"": {""Precision"": {""1"": 0.8709677419354839, ""2"": 1.0, ""3"": 1.0, ""4"": 0.8666666666666667}, ""Recall"": {""1"": 0.9310344827586207, ""2"": 0.9583333333333334, ""3"": 0.8, ""4"": 1.0}, ""F-score"": {""1"": 0.9, ""2"": 0.9787234042553191, ""3"": 0.888888888888889, ""4"": 0.9285714285714286}, ""Support"": {""1"": 29, ""2"": 24, ""3"": 15, ""4"": 13}}}",0.9259259259259259,"[0.9344086021505377, 0.9223419540229885, 0.9240459304289093, None]",0.8709677419354839,1.0,1.0,0.8666666666666667,0.9310344827586207,0.9583333333333334,0.8,1.0,0.9,0.9787234042553191,0.888888888888889,0.9285714285714286,29,24,15,13
32,original bmk,openai-gpt4,"{""accuracy"": 0.9506172839506173, ""macro"": [0.9696969696969697, 0.9395833333333334, 0.9507740410279875, null], ""per_class"": {""Precision"": {""1"": 0.8787878787878788, ""2"": 1.0, ""3"": 1.0, ""4"": 1.0}, ""Recall"": {""1"": 1.0, ""2"": 0.9583333333333334, ""3"": 0.8, ""4"": 1.0}, ""F-score"": {""1"": 0.9354838709677419, ""2"": 0.9787234042553191, ""3"": 0.888888888888889, ""4"": 1.0}, ""Support"": {""1"": 29, ""2"": 24, ""3"": 15, ""4"": 13}}}",0.9506172839506173,"[0.9696969696969697, 0.9395833333333334, 0.9507740410279875, None]",0.8787878787878788,1.0,1.0,1.0,1.0,0.9583333333333334,0.8,1.0,0.9354838709677419,0.9787234042553191,0.888888888888889,1.0,29,24,15,13
33,numeric succint,openai-gpt4,"{""accuracy"": 0.9506172839506173, ""macro"": [0.9696969696969697, 0.9395833333333334, 0.9507740410279875, null], ""per_class"": {""Precision"": {""1"": 0.8787878787878788, ""2"": 1.0, ""3"": 1.0, ""4"": 1.0}, ""Recall"": {""1"": 1.0, ""2"": 0.9583333333333334, ""3"": 0.8, ""4"": 1.0}, ""F-score"": {""1"": 0.9354838709677419, ""2"": 0.9787234042553191, ""3"": 0.888888888888889, ""4"": 1.0}, ""Support"": {""1"": 29, ""2"": 24, ""3"": 15, ""4"": 13}}}",0.9506172839506173,"[0.9696969696969697, 0.9395833333333334, 0.9507740410279875, None]",0.8787878787878788,1.0,1.0,1.0,1.0,0.9583333333333334,0.8,1.0,0.9354838709677419,0.9787234042553191,0.888888888888889,1.0,29,24,15,13
34,alpaca style,tiiuae/falcon-40b-instruct,"{""accuracy"": 0.2962962962962963, ""macro"": [0.24244949494949494, 0.2821949602122016, 0.24386578333946754, null], ""per_class"": {""Precision"": {""1"": 0.4166666666666667, ""2"": 0.2222222222222222, ""3"": 0.09090909090909091, ""4"": 0.24}, ""Recall"": {""1"": 0.5172413793103449, ""2"": 0.08333333333333333, ""3"": 0.06666666666666667, ""4"": 0.46153846153846156}, ""F-score"": {""1"": 0.46153846153846156, ""2"": 0.12121212121212122, ""3"": 0.07692307692307691, ""4"": 0.3157894736842105}, ""Support"": {""1"": 29, ""2"": 24, ""3"": 15, ""4"": 13}}}",0.2962962962962963,"[0.24244949494949494, 0.2821949602122016, 0.24386578333946754, None]",0.4166666666666667,0.2222222222222222,0.09090909090909091,0.24,0.5172413793103449,0.08333333333333333,0.06666666666666667,0.46153846153846156,0.46153846153846156,0.12121212121212122,0.07692307692307691,0.3157894736842105,29,24,15,13
